Цена,Ссылка,Место,Кол-во комнат,Площадь,Год строительства
62 000 €,https://profitrealestate.ru/catalog_single/prostornye-trekhkomnatnye-apartamenty-s-mebelyu-i-tekhnikoi-v-350-metrakh-ot-plyazha-kestelya-alanya-125-m2,"Алания, Кестель",2+1,125 м2,2005
86 000 €,https://profitrealestate.ru/catalog_single/dvukhkomnatnaya-kvartira-v-novoi-blagoustroennoi-rezidencii-vsego-v-250-metrakh-ot-morya-alanya-centr-53-m2,"Алания, Алания центр",1+1,53 м2,2020
110 000 €,https://profitrealestate.ru/catalog_single/novye-trekhkomnatnye-apartamenty-v-centre-alani-71-m2,"Алания, Алания центр",2+1,71 м2,2020
71 500 €,https://profitrealestate.ru/catalog_single/prostornaya-kvartira-2-1-v-300-metrakh-ot-centra-raiona-makhmukhlar-alaniya,"Алания, Махмутлар",2+1,120 м2,2006
72 000 €,https://profitrealestate.ru/catalog_single/svetlaya-trekhkomnatnaya-kvartira-s-mebelyu-v-raione-makhmutlar-alaniya-115-m-2,"Алания, Махмутлар",2+1,115 м2,2012
56 000 €,https://profitrealestate.ru/catalog_single/trekhkomnatnaya-kvartira-v-raione-demirtash-obshei-ploshadyu-97m2,"Алания, Демирташ",2+1,97 м2,2016
67 850 €,https://profitrealestate.ru/catalog_single/kvartiry-na-etape-stroitelstva-v-avsallare-alanya-54-160-m2,"Алания, Авсаллар","1+1, 2+1, 3+1",54-160 м2,2021
115 500 €,https://profitrealestate.ru/catalog_single/roskoshnye-trekhkomnatnye-apartamenty-gotovye-k-zaseleniyu-v-zhilom-komplekse-s-bogatoi-infrastrukturoi-kargydzhak-alanya-105-m2,"Алания, Каргыджак",2+1,105 м2,2014
110 000 €,https://profitrealestate.ru/catalog_single/elegantnye-trekhkomnatnye-apartamenty-v-zhilom-komplekse-s-infrastrukturoi-otelya-dzhikdzhilli-alanya-100-m2,"Алания, Джикджилли",2+1,100 м2,2013
79 000 €,https://profitrealestate.ru/catalog_single/uyutnaya-trekhkomnatnaya-kvartira-s-otdelnoi-kukhnei-v-dzhikdzhilli-alanya-115-m2,"Алания, Джикджилли",2+1,115 м2,2013
57 500 €,https://profitrealestate.ru/catalog_single/dvukhkomnatnye-apartamenty-s-mebelyu-i-tekhnikoi-v-200-metrakh-ot-centra-makhmutlara-alanya-60-m2,"Алания, Махмутлар",1+1,60 м2,2019
65 000 €,https://profitrealestate.ru/catalog_single/trekhkomnatnyi-dupleks-s-otlichnymi-vidovymi-kharakteristikami-kargydzhak-alanya-135-m2,"Алания, Каргыджак",2+1,135 м2,2010
63 000 €,https://profitrealestate.ru/catalog_single/dvuetazhnaya-kvartira-planirovki-2-1-s-remontom-v-kargydzhake-alanya-125-m2,"Алания, Каргыджак",2+1,125 м2,2010
80 000 €,https://profitrealestate.ru/catalog_single/novyi-investicionnyi-proekt-v-raione-oba-kvartiry-v-rassrochku-ot-zastroishika-60-156-m2,"Алания, Оба","1+1, 2+1, 3+1",60-156 м2,2022
93 500 €,https://profitrealestate.ru/catalog_single/trekhkomnatnaya-kvartira-gotovaya-k-zaseleniyu-na-pervoi-beregovoi-linii-makhmutlar-alanya-82-m2,"Алания, Махмутлар",2+1,82 м2,2018
121 000 €,https://profitrealestate.ru/catalog_single/prostornyi-chetyrekhkomnatnyi-dupleks-v-rezidencii-s-bogatoi-infrastrukturoi-kestel-alanya-220-m2,"Алания, Кестель",3+1,220 м2,2017
88 000 €,https://profitrealestate.ru/catalog_single/trekhkomnatnye-apartamenty-s-mebelyu-i-tekhnikoi-v-zhilom-komplekse-s-otlichnoi-infrastrukturoi-makhmutlar-alanya-110-m2,"Алания, Махмутлар",2+1,110 м2,2016
74 000 €,https://profitrealestate.ru/catalog_single/uyutnye-apartamenty-planirovki-3-1-s-vidom-na-more-demirtash-alanya-132-m2,"Алания, Демирташ",3+1,132 м2,2008
93 000 €,https://profitrealestate.ru/catalog_single/trekhkomnatnye-apartamenty-s-otdelnoi-kukhnei-vsego-v-50-metrakh-ot-sredizemnogo-morya-makhmutlar-alanya-100-m2,"Алания, Махмутлар",2+1,100 м2,2014
79 000 €,https://profitrealestate.ru/catalog_single/elegantnye-trekhkomnatnye-apartamenty-s-krasivym-vnutrennim-intererom-v-100-metrakh-ot-morya-makhmutlar-alanya-115-m2,"Алания, Махмутлар",2+1,115 м2,2010
53 000 €,https://profitrealestate.ru/catalog_single/kvartiry-u-morya-v-rassrochku-novyi-investicionnyi-proekt-v-prestizhnom-raione-oba-alanya-48-276-m2,"Алания, Оба","1+1, 2+1, 3+1, 4+1",48-276 м2,2022
51 000 €,https://profitrealestate.ru/catalog_single/kvartiry-po-cenam-zastroishika-v-novoi-sovremennoi-rezidencii-oba-alanya-46-200-m2,"Алания, Оба","1+1, 2+1, 3+1",46-200 м2,2022
99 000 €,https://profitrealestate.ru/catalog_single/novyi-trekhkomnatnyi-dupleks-s-pryamym-vykhodom-v-sad-gotovyi-k-zaseleniyu-v-200-metrakh-ot-morya-kargydzhak-alanya-140-m2,"Алания, Каргыджак",2+1,140 м2,2020
121 000 €,https://profitrealestate.ru/catalog_single/dvukhetazhnaya-villa-s-sobstvennym-basseinom-ukomplektovannaya-mebelyu-v-avsallare-alanya-200-m2,"Алания, Авсаллар",3+1,200 м2,2004
110 000 €,https://profitrealestate.ru/catalog_single/dvukhetazhnye-apartamenty-planirovki-3-1-s-vidom-na-gory-bez-mebeli-tosmur-alanya-155-m2,"Алания, Тосмур",3+1,155 м2,2014
99 000 €,https://profitrealestate.ru/catalog_single/trekhkomnatnye-apartamenty-s-elegantnym-vnutrennim-intererom-v-novom-zhilom-komplekse-raiona-oba-alanya-105-m2,"Алания, Оба",2+1,105 м2,2020
70 000 €,https://profitrealestate.ru/catalog_single/tryokhkomnatnye-apartamenty-gotovye-k-zaseleniyu-vsego-v-100-metrakh-ot-morya-tosmur-alanya-120-m2,"Алания, Тосмур",2+1,120 м2,2006
51 000 €,https://profitrealestate.ru/catalog_single/dvukhkomnatnaya-kvartira-v-100-metrakh-ot-morya-kestel-alanya-68-m2,"Алания, Кестель",1+1,68 м2,2018
44 000 €,https://profitrealestate.ru/catalog_single/novye-dvukhkomnatnye-apartamenty-v-zhilom-komplekse-s-bogatoi-infrastrukturoi-makhmutlar-alanya-47-m2,"Алания, Махмутлар",1+1,47 м2,2020
77 000 €,https://profitrealestate.ru/catalog_single/uyutnye-trekhkomnatnye-apartamenty-s-mebelyu-i-tekhnikoi-v-250-metrakh-ot-plyazha-makhmutlara-alanya-110-m2,"Алания, Махмутлар",2+1,110 м2,2019
45 000 €,https://profitrealestate.ru/catalog_single/dvukhkomnatnaya-kvartira-v-novom-komplekse-s-infrastrukturoi-v-raione-makhmutlar-alanya-65-m-2,"Алания, Махмутлар",1+1,65 м2,2019
94 500 €,https://profitrealestate.ru/catalog_single/novyi-investicionnyi-proekt-s-vygodnoi-rassrochkoi-platezha-v-raione-oba,"Алания, Оба","2+1, 3+1, 4+1",98-286 м2,2023
52 500 €,https://profitrealestate.ru/catalog_single/uyutnaya-dvukhkomnatnaya-kvartira-v-makhmutlare-v-450m-ot-morya-ploshadyu-58m2,"Алания, Махмутлар",1+1,58 м2,2018
43 500 €,https://profitrealestate.ru/catalog_single/uyutnye-dvukhkomnatnye-apartamenty-gotovye-k-zaseleniyu-vsego-v-250-metrakh-ot-morya-makhmutlar-alanya-65-m2,"Алания, Махмутлар",1+1,65 м2,2005
61 500 €,https://profitrealestate.ru/catalog_single/trekhkomnatnye-apartamenty-ukomplektovannye-stilnoi-mebelyu-v-200-metrakh-ot-centra-makhmutlara-alanya-100-m2,"Алания, Махмутлар",2+1,100 м2,2001
58 500 €,https://profitrealestate.ru/catalog_single/trekhkomnatnye-apartamenty-s-mebelyu-i-tekhnikoi-v-zhivopisnoi-mestnosti-makhmutlara-alanya-125-m2,"Алания, Махмутлар",2+1,125 м2,2010
125 500 €,https://profitrealestate.ru/catalog_single/chetyrekhkomnatnaya-kvartira-bez-mebeli-no-otdelnoi-kukhnei-vsego-v-350-metrakh-ot-morya-makhmutlar-alanya-165-m2,"Алания, Махмутлар",3+1,165 м2,2017
75 000 €,https://profitrealestate.ru/catalog_single/stilnaya-trekhkomnatnaya-kvartira-s-professionalnym-dizainom-makhmutlar-alanya-115-m2,"Алания, Махмутлар",2+1,115 м2,2018
64 000 €,https://profitrealestate.ru/catalog_single/novye-apartamenty-planirovki-1-1-v-zhilom-komplekse-s-dvumya-basseinami-makhmutlar-alanya-60-m,"Алания, Махмутлар",1+1,60 м2,2019
154 000 €,https://profitrealestate.ru/catalog_single/trekhkomnatnaya-kvartira-v-shikarnom-komplekse-v-zelenom-raione-kargydzhak-alaniya-120-m-2,"Алания, Каргыджак",2+1,120 м2,2018
107 000 €,https://profitrealestate.ru/catalog_single/chetyrekhkomnatnye-apartamenty-s-otdelnoi-kukhnei-v-zhilom-komplekse-na-etape-stroitelstva-oba-alanya-150-m2,"Алания, Оба",3+1,150 м2,2021
55 000 €,https://profitrealestate.ru/catalog_single/trekhkomnatnaya-kvartira-v-stoyashemsya-dome-avsallar-alanya-80-m2,"Алания, Авсаллар",2+1,80 м2,2021
590 000 €,https://profitrealestate.ru/catalog_single/litnaya-trekhetazhnaya-villa-na-etape-stroitelstva-kargydzhak-alanya-385-m2,"Алания, Каргыджак",5+1,385 м2,2022
58 500 €,https://profitrealestate.ru/catalog_single/uyutnaya-dvukhkomnatnaya-kvartira-v-elitnom-komplekse-v-raione-avsalar-ploshadyu-55m2,"Алания, Авсаллар",1+1,55 м2,2015
103 500 €,https://profitrealestate.ru/catalog_single/elegantnye-trekhkomnatnye-apartamenty-s-vidom-na-more-makhmutlar-alanya-110-m2,"Алания, Махмутлар",2+1,110 м2,2013
93 500 €,https://profitrealestate.ru/catalog_single/prostornye-apartamenty-planirovki-2-1-s-pryamym-vykhodom-na-terrasu-ukomplektovannye-mebelyu-i-tekhnikoi-makhmutlar-alanya-135-m2,"Алания, Махмутлар",2+1,135 м2,2017
96 000 €,https://profitrealestate.ru/catalog_single/stilnye-trekhkomnatnye-apartamenty-s-professionalnym-dizainom-i-bolshoi-terrasoi-makhmutlar-alanya-135-m2,"Алания, Махмутлар",2+1,135 м2,2017
220 000 €,https://profitrealestate.ru/catalog_single/dvukhetazhnaya-villa-s-sobstvennym-basseinom-v-zhivopisnom-meste-paiallar-alanya-101-m2,"Алания, Пайалар",5+2,101 м2,2005
495 000 €,https://profitrealestate.ru/catalog_single/shikarnaya-trekhetazhnaya-villa-s-sobstvennym-infiniti-basseinom-i-vozmozhnostyu-poluchit-grazhdanstvo-turcii-na-lgotnykh-usloviyakh-kargydzhak-alanya-445-m2,"Алания, Каргыджак",6+1,445 м2,2021
69 000 €,https://profitrealestate.ru/catalog_single/chastichno-meblirovannye-trekhkomnatnye-apartamenty-vsego-v-350-metrakh-ot-morya-oba-alanya-110-m2,"Алания, Оба",2+1,110 м2,2008
69 000 €,https://profitrealestate.ru/catalog_single/uyutnaya-trekhkomnatnaya-kvartira-v-blagoustroennom-zhilom-komplekse-oba-alanya-90-m2,"Алания, Оба",2+1,90 м2,2008
71 500 €,https://profitrealestate.ru/catalog_single/dvukhurovnevaya-kvartira-planirovki-3-2-vsego-v-200-metrakh-ot-centra-oba-alanya-170-m2,"Алания, Оба",3+2,170 м2,2004
47 000 €,https://profitrealestate.ru/catalog_single/novye-dvukhkomnatnye-apartamenty-v-rezidencii-s-bogatoi-infrastrukturoi-avsallar-alanya-47-5-57-m2,"Алания, Авсаллар",1+1,"47,5-57 м2",2019
65 500 €,https://profitrealestate.ru/catalog_single/apartamenty-planirovki-2-1-v-300-metrakh-ot-plyazha-kleopatra-alanya-centr-100-m2,"Алания, Алания центр",2+1,100 м2,2000
58 500 €,https://profitrealestate.ru/catalog_single/trekhkomnatnaya-kvartira-v-prestizhnom-raione-oba-vsego-v-300-metrakh-ot-morya-90-m2,"Алания, Оба",2+1,90 м2,2004
84 000 €,https://profitrealestate.ru/catalog_single/uyutnye-dvukhkomnatnye-apartamenty-meblirovannye-v-rezidencii-s-bogatoi-infrastrukturoi-oba-alanya-56-m2,"Алания, Оба",1+1,56 м2,2019
165 500 €,https://profitrealestate.ru/catalog_single/bolshaya-dvukhetazhnaya-villa-s-tremya-spalnyami-i-sobstvennym-basseinom-kargydzhak-alanya-220-m2,"Алания, Каргыджак",3+1,220 м2,2013
82 500 €,https://profitrealestate.ru/catalog_single/chetyrekhkomnatnye-apartamenty-s-otdelnoi-kukhnei-ukomplektovannye-mebelyu-i-tekhnikoi-makhmutlar-alanya-160-m2,"Алания, Махмутлар",3+1,160 м2,2018
70 500 €,https://profitrealestate.ru/catalog_single/apartamenty-s-dvumya-spalnyami-v-chistovoi-otdelke-vsego-v-150-metrakh-ot-centra-makhmutlara-alanya,"Алания, Махмутлар",2+1,110 м2,2019
264 000 €,https://profitrealestate.ru/catalog_single/prostornyi-shestikomnatnyi-dupleks-s-bolshoi-obshei-ploshadyu-v-prestizhnom-zhilom-komplekse-makhmutlar-alanya-387-m2,"Алания, Махмутлар",5+1,387 м2,2015
60 500 €,https://profitrealestate.ru/catalog_single/elegantnye-apartamenty-planirovkoi-1-1-gotovye-k-zaseleniyu-makhmutlar-alanya-60-m2,"Алания, Махмутлар",1+1,60 м2,2017
69 500 €,https://profitrealestate.ru/catalog_single/dvukhkomnatnye-apartamenty-ukomplektovannye-mebelyu-i-tekhnikoi-v-shikarnoi-rezidencii-raiona-oba-alanya-65-m2,"Алания, Джикджилли",1+1,65 м2,2011
74 000 €,https://profitrealestate.ru/catalog_single/meblirovannye-apartamenty-planirovki-2-1-v-250-metrakh-ot-morya-makhmutlar-alanya-110-m2,"Алания, Махмутлар",2+1,110 м2,2010
67 000 €,https://profitrealestate.ru/catalog_single/otlichnaya-trekhkomnatnaya-kvartira-ukomplektovannaya-mebelyu-v-centre-makhmutlara-alanya-110-m2,"Алания, Махмутлар",2+1,110 м2,2010
116 000 €,https://profitrealestate.ru/catalog_single/novyi-zhiloi-kompleks-premium-klassa-v-kargydzhake-alaniya-pervaya-beregovaya-liniya,"Алания, Каргыджак","1+1, 2+1, 3+1","66,5 - 250 м2",2023
49 500 €,https://profitrealestate.ru/catalog_single/dvukhkomnatnye-apartamenty-s-mebelyu-i-tekhnikoi-v-rezidencii-s-bogatoi-infrastrukturoi-makhmutlara-alanya-68-m2,"Алания, Махмутлар",1+1,68 м2,2007
143 000 €,https://profitrealestate.ru/catalog_single/bolshaya-dvukhurovnevaya-kvartira-s-tremya-spalnyami-i-otdelnoi-kukhnei-v-ukhozhennom-zhilom-komplekse-makhmutlara-alanya-180-m2,"Алания, Махмутлар",3+1,180 м2,2008
66 000 €,https://profitrealestate.ru/catalog_single/prostornye-apartamenty-planirovki-2-1-bez-mebeli-v-200-metrakh-ot-centra-makhmutlara-alanya-120-m2,"Алания, Махмутлар",2+1,120 м2,2017
71 500 €,https://profitrealestate.ru/catalog_single/novaya-trekhkomnatnaya-kvartira-gotovaya-k-zaseleniyu-v-zhilom-komplekse-2020-goda-postroiki-makhmutlar-alanya-105-m2,"Алания, Махмутлар",2+1,105 м2,2020
66 000 €,https://profitrealestate.ru/catalog_single/trekhkomnatnaya-kvartira-bez-mebeli-v-centre-makhmutlara-alanya-100-m2,"Алания, Махмутлар",2+1,100 м2,2016
37 000 €,https://profitrealestate.ru/catalog_single/novyi-roskoshnyi-proekt-v-raione-avsallar-alanya-kvartiry-v-rassrochku-po-cenam-zastroishika-50-110-m2,"Алания, Авсаллар","1+1, 2+1",50-110 м2,2022
55 000 €,https://profitrealestate.ru/catalog_single/trekhkomnatnye-apartamenty-meblirovannye-v-200-metrakh-ot-centra-makhmutara-po-vygodnoi-cene,"Алания, Махмутлар",2+1,105 м2,2007
71 500 €,https://profitrealestate.ru/catalog_single/trekhkomnatnyi-dupleks-s-bolshoi-obshei-ploshadyu-v-otelnom-zhilom-komplekse-kargydzhak-alanya-137-m2,"Алания, Каргыджак",2+1,137 м2,2008
68 500 €,https://profitrealestate.ru/catalog_single/nedorogaya-dvukhetazhnaya-villa-planirovki-2-1-s-mebelyu-i-tekhnikoi-v-ukhozhennom-zhilom-komplekse-konakly-alanya-120-m2,"Алания, Конаклы",2+1,120 м2,2004
90 000 €,https://profitrealestate.ru/catalog_single/prostornaya-chetyrekhkomnatnaya-kvartira-s-otdelnoi-kukhnei-v-300m-centra-goroda-alanii-ploshadyu-160m2,"Алания, Алания центр",3+1,160 м2,2019
81 000 €,https://profitrealestate.ru/catalog_single/roskoshnyi-investicionnyi-proekt-v-raione-oba-v-900-metrakh-ot-sredizemnogo-morya,"Алания, Оба","1+1, 2+1, 3+1",53-140 м2,2023
36 500 €,https://profitrealestate.ru/catalog_single/meblirovannaya-odnokomnatnaya-kvartira-v-blagoustroennoi-rezidencii-makhmutlara-alanya-40-m2,"Алания, Махмутлар",0+1,40 м2,2015
57 500 €,https://profitrealestate.ru/catalog_single/uyutnye-dvukhkomnatnye-apartamenty-s-mebelyu-i-tekhnikoi-ryadom-s-morem-i-v-150-metrakh-ot-centra-makhmutlara-alanya,"Алания, Махмутлар",1+1,70 м2,2012
200 000 €,https://profitrealestate.ru/catalog_single/bolshaya-dvukhetazhnaya-villa-s-sobstvennym-basseinom-i-velikolepnymi-panoramnymi-vidami-bektash-alanya-240-m2,"Алания, Алания центр",3+1,240 м2,2009
82 500 €,https://profitrealestate.ru/catalog_single/trekhkomnatnye-apartamenty-s-mebelyu-i-tekhnikoi-v-zhilom-komplekse-2020-goda-postroiki-makhmutlar-alanya,"Алания, Махмутлар",2+1,92 м2,2020
55 000 €,https://profitrealestate.ru/catalog_single/meblirovannye-dvukhkomnatnye-apartamenty-s-bolshoi-obshei-ploshadyu-v-400-metrakh-ot-morya-makhmutlar-alanya,"Алания, Махмутлар",1+1,68 м2,2018
63 500 €,https://profitrealestate.ru/catalog_single/elegantnye-dvukhkomnatnye-apartamenty-ukomplektovannye-mebelyu-i-tekhnikoi-v-200-metrakh-ot-centra-makhmutlara-alanya-80-m2,"Алания, Махмутлар",1+1,80 м2,2018
203 500 €,https://profitrealestate.ru/catalog_single/shikarnaya-dvukhetazhnaya-villa-s-sobstvennym-basseinom-v-makhmutlare-alanya-220-m2,"Алания, Махмутлар",4+1,220 м2,2007
54 500 €,https://profitrealestate.ru/catalog_single/trekhkomnatnaya-kvartira-s-mebelyu-i-tekhnikoi-po-vygodnoi-cene-makhmutlar-alanya-100-m2,"Алания, Махмутлар",2+1,100 м2,2003
93 500 €,https://profitrealestate.ru/catalog_single/elegantnye-apartamenty-planirovkoi-2-1-v-prestizhnom-zhilom-komplekse-makhmutlara-105-m2,"Алания, Махмутлар",2+1,105 м2,2013
65 000 €,https://profitrealestate.ru/catalog_single/prostornye-trekhkomnatnye-apartamenty-v-zhilom-komplekse-s-otlichnoi-infrastrukturoi-makhmutlar-alanya-125-m2,"Алания, Махмутлар",2+1,125 м2,2008
66 000 €,https://profitrealestate.ru/catalog_single/trekhkomnatnaya-kvartira-v-shikarnom-komplekse-s-bogatoi-infrastrukturoi-v-makhmutlare,"Алания, Махмутлар",2+1,120 м2,2007
52 000 €,https://profitrealestate.ru/catalog_single/kvartiry-ot-sobstvennika-raznykh-planirovok-v-komplekse-2015-goda-v-raione-makhmutlar,"Алания, Махмутлар","1+1, 2+1, 3+1",50-160 м2,2015
73 000 €,https://profitrealestate.ru/catalog_single/prostornaya-trekhkomnatnaya-kvartira-v-makhmutlare-s-prekrasnym-vidom-na-more-ploshad-120-m2,"Алания, Махмутлар",2+1,120 м2,2007
46 000 €,https://profitrealestate.ru/catalog_single/prostornaya-dvukhkomnatnaya-kvartira-obshei-ploshadyu-65m2-v-raione-makhmutlar-po-privlekatelnoi-cene,"Алания, Махмутлар",1+1,65 м2,2007
40 000 €,https://profitrealestate.ru/catalog_single/stilnye-odnokomnatnye-apartamenty-gotovye-k-zaseleniyu-v-blagoustroennoi-rezidencii-makhmutlara-alanya-40-m2,"Алания, Махмутлар",0+1,40 м2,2015
38 000 €,https://profitrealestate.ru/catalog_single/novyi-investicionnyi-proekt-v-avsallare-nedorogie-kvartiry-na-etape-stroitelstva-36-106-m2,"Алания, Авсаллар","1+1, 2+1",36-106 м2,2022
87 000 €,https://profitrealestate.ru/catalog_single/tryokhkomnatnye-apartamenty-gotovye-k-zaseleniyu-v-elitnom-zhilom-komplekse-avsallara-alanya-100-m2,"Алания, Авсаллар",2+1,100 м2,2015
46 500 €,https://profitrealestate.ru/catalog_single/dvukhkomnatnaya-kvartira-bez-mebeli-v-rezidencii-s-produmannoi-infrastrukturoi-makhmutlar-alanya-60-m2,"Алания, Махмутлар",1+1,60 м2,2015
69 000 €,https://profitrealestate.ru/catalog_single/dvukhkomnatnye-apartamenty-v-zhilom-komplekse-klassa-lyuks-avsallar-alanya-60-m2,"Алания, Авсаллар",1+1,60 м2,2015
43 000 €,https://profitrealestate.ru/catalog_single/nedorogie-kvartiry-na-nachalnom-etape-stroitelstva-vsego-v-200-metrakh-ot-morya-demirtash-alanya-45-127-m2,"Алания, Демирташ","1+1, 2+1",45-127 м2,2022
119 000 €,https://profitrealestate.ru/catalog_single/novye-dvukhkomnatnye-apartamenty-v-zhilom-komplekse-s-bogatoi-infrastrukturoi-na-pervoi-beregovoi-linii-makhmutlara-alanya-55-m2,"Алания, Махмутлар",1+1,55 м2,2020
70 000 €,https://profitrealestate.ru/catalog_single/trekhkomnatnye-apartamenty-s-mebelyu-i-tekhnikoi-vsego-v-100-metrakh-ot-centra-makhmutlara-alanya-100-m2,"Алания, Махмутлар",2+1,100 м2,2019
192 500 €,https://profitrealestate.ru/catalog_single/prostornyi-dupleks-planirovki-3-1-s-vidom-na-more-ukomplektovannyi-mebelyu-i-tekhnikoi-makhmutlar-alanya-200-m2,"Алания, Махмутлар",3+1,200 м2,2011
55 000 €,https://profitrealestate.ru/catalog_single/dvukhkomnatnaya-kvartira-na-etape-stroitelstva-po-cenam-zastroishika-makhmutlar-alanya-70-m2,"Алания, Махмутлар",1+1,70 м2,2021
55 000 €,https://profitrealestate.ru/catalog_single/dvukhkomnatnye-apartamenty-bez-mebeli-v-150-metrakh-ot-centra-makhmutlara-alanya,"Алания, Махмутлар",1+1,65 м2,2014
74 000 €,https://profitrealestate.ru/catalog_single/uyutnaya-trekhkomnatnaya-kvartira-gotovaya-k-zaseleniyu-v-komplekse-s-otlichnoi-infrastrukturoi-dzhikdzhilli-alanya-120-m2,"Алания, Джикджилли",2+1,120 м2,2008
320 000 €,https://profitrealestate.ru/catalog_single/prostornyi-pyatikomnatnyi-dupleks-s-vidom-na-more-i-gotovyi-k-zaseleniyu-kestel-alanya-375-m2,"Алания, Кестель",4+1,375 м2,2015
150 000 €,https://profitrealestate.ru/catalog_single/trekhkomnatnye-apartamenty-s-bogatym-vnutrennim-intererom-v-elitnom-zhilom-komplekse-kargydzhak-alanya-110-m2,"Алания, Каргыджак",2+1,110 м2,2019
260 000 €,https://profitrealestate.ru/catalog_single/roskoshnyi-chetyrekhkomnatnyi-dupleks-v-zhilom-komplekse-premium-klassa-kargydzhak-alanya-210-m2,"Алания, Каргыджак",3+1,210 м2,2019
50 500 €,https://profitrealestate.ru/catalog_single/stilnaya-dvukhkomnatnaya-kvartira-v-zhilom-komplekse-s-bogatoi-infrastrukturoi-dzhikdzhilli-alanya-65-m2,"Алания, Джикджилли",1+1,65 м2,2013
79 500 €,https://profitrealestate.ru/catalog_single/trekhkomnatnye-apartamenty-s-mebelyu-i-tekhnikoi-v-centre-evropeiskogo-raiona-oba-alanya-100-m2,"Алания, Оба",2+1,90 м2,2005
75 000 €,https://profitrealestate.ru/catalog_single/uyutnye-dvukhkomnatnye-apartamenty-ukomplektovannye-mebelyu-i-tekhnikoi-v-100-metrakh-ot-morya-oba-alanya,"Алания, Оба",1+1,55 м2,2009
50 500 €,https://profitrealestate.ru/catalog_single/dvukhkomnatnye-apartamenty-s-bolshoi-obshei-ploshadyu-vsego-v-150-metrakh-ot-plyazha-raiona-oba-alanya-70-m2,"Алания, Оба",1+1,70 м2,2008
